 9XX 500 907 200 600.00   0.00 CS 000   7
 -19.7400  50.5300  2
 -19.7300  50.4900  2
 -19.6400  50.6400  3
 -19.6300  50.6800  2
 -19.6700  50.7200  2
 -19.6800  50.6600  2
 -19.7200  50.7200  2
 -19.7700  50.6800  2
 -19.7500  50.6200  2
 -22.7000  49.4000  3
 -22.7900  49.4600  2
 -22.8600  49.5300  2
 -22.9400  49.6400  2
 -23.1000  49.7400  2
 -23.1800  49.8200  2
 -23.3000  49.9500  2
 -23.4200  50.0500  2
 -23.4800  50.1200  2
 -23.5800  50.2000  2
 -23.6600  50.2500  2
 -23.3800  49.9000  3
 -23.3300  50.0200  2
 -23.0900  49.6700  3
 -23.0500  49.7400  2
 -23.3900  50.1700  3
 -23.3600  50.2300  2
 -23.3800  50.2900  2
 -23.4100  50.2400  2
 -23.4600  50.3200  2
 -23.5000  50.2400  2
 -23.4600  50.2200  2
 -23.3800  50.3600  3
 -23.3700  50.4300  2
 -23.4000  50.4600  2
 -23.4200  50.4300  2
 -23.4800  50.4600  2
 -23.5200  50.4100  2
 -23.4900  50.3600  2
 -26.0000  47.4900  3
 -26.1400  47.5800  2
 -26.2500  47.6800  2
 -26.4200  47.8300  2
 -26.5400  47.9700  2
 -26.6600  48.1000  2
 -26.7700  48.1900  2
 -26.8900  48.3100  2
 -26.9800  48.3900  2
 -26.7000  48.3200  3
 -26.6800  48.3800  2
 -26.7400  48.4200  2
 -26.7400  48.3800  2
 -26.7900  48.4400  2
 -26.8400  48.4100  2
 -26.8100  48.3400  2
 -26.7100  48.5100  3
 -26.7100  48.5800  2
 -26.7500  48.5800  2
 -26.7600  48.5400  2
 -26.8000  48.6100  2
 -26.8300  48.5500  2
 -26.8000  48.4900  2
 -26.3800  47.7200  3
 -26.3500  47.8300  2
 -27.0900  49.5600  3
 -27.1500  49.6000  2
 -27.2100  49.7000  3
 -27.2500  49.7200  2
 -27.3300  49.7900  3
 -27.3600  49.8500  2
 -27.4500  49.9500  3
 -27.5200  49.9800  2
 -27.5800  50.0900  3
 -27.6900  50.1900  2
 -27.7800  50.3000  3
 -27.7900  50.3300  2
 -27.8800  50.4100  3
 -27.9300  50.4500  2
 -27.9800  50.5100  3
 -28.0400  50.5600  2
 -28.0900  50.6500  3
 -28.2500  50.7900  2
 -28.2000  50.6600  3
 -28.1800  50.7600  2
 -27.7200  50.0600  3
 -27.6100  50.1600  2
 -27.6800  50.0900  3
 -27.5500  50.1200  2
 -27.0400  49.3700  3
 -26.9300  49.4700  2
 -27.1000  49.7400  3
 -27.0600  49.7800  2
 -27.1000  49.8400  2
 -27.1100  49.7800  2
 -27.1500  49.8400  2
 -27.1700  49.8100  2
 -27.1700  49.7400  2
 -27.0600  49.9300  3
 -27.0800  49.9700  2
 -27.1300  49.9800  2
 -27.1800  50.0100  2
 -27.1300  49.9100  2
 -27.1300  49.9300  3
  99.0000   0.0000  3
 94X 120 907 125  72.46   0.00 AN    32 6
 -18.2600  51.5500  3
 -18.3500  51.6100  2
 -18.5100  51.7500  2
 -18.6100  51.8500  2
 -18.7400  52.0000  2
 -18.8500  52.0900  2
 -18.9800  52.2300  2
 -19.0600  52.3000  2
 -19.1400  52.3800  2
 -19.2200  52.4500  2
 -18.2800  51.5300  3
 -18.2900  51.5800  2
 -18.6900  51.8000  3
 -18.6100  51.9100  2
 -19.4000  52.5300  3
 -19.2500  52.5600  2
 -18.1200  51.6600  3
 -18.1000  51.7000  2
 -18.1200  51.7300  2
 -18.1300  51.6900  2
 -18.2000  51.7300  2
 -18.2000  51.6300  2
 -18.0900  51.8300  3
 -18.0700  51.8700  2
 -18.1500  51.9000  2
 -18.1900  51.8400  2
 -18.2300  51.9700  2
 -21.5400  50.6200  3
 -21.6300  50.6900  2
 -21.7300  50.7900  2
 -21.8300  50.8800  2
 -21.9300  50.9800  2
 -22.0000  51.0400  2
 -22.0900  51.1200  2
 -22.2100  51.2200  2
 -22.3100  51.3000  2
 -22.3600  51.3700  2
 -22.4500  51.4600  2
 -22.5600  51.5600  2
 -22.6700  51.6400  2
 -22.7500  51.6900  2
 -22.8100  51.7600  2
 -22.3400  51.7300  3
 -22.3300  51.7700  2
 -22.3700  51.8100  2
 -22.3700  51.7900  2
 -22.3900  51.8300  2
 -22.4300  51.7900  2
 -22.4200  51.7600  2
 -22.3400  51.9000  3
 -22.3300  51.9300  2
 -22.3600  51.9900  2
 -22.4300  51.9000  2
 -22.4200  51.9700  2
 -21.6000  50.5900  3
 -21.5500  50.7000  2
 -22.0500  50.9400  3
 -21.9900  51.0400  2
 -22.6000  51.4400  3
 -22.4000  51.4700  2
 -25.2900  48.7000  3
 -25.4100  48.8200  2
 -25.5000  48.9100  2
 -25.5900  49.0100  2
 -25.6900  49.1100  2
 -25.7900  49.2100  2
 -25.8900  49.3300  2
 -25.9500  49.3900  2
 -25.6700  48.9800  3
 -25.6200  49.1000  2
 -25.7400  49.3900  3
 -25.7200  49.4400  2
 -25.7300  49.4900  2
 -25.7800  49.4600  2
 -25.8300  49.4900  2
 -25.8000  49.4100  2
 -25.7200  49.5600  3
 -25.7100  49.6100  2
 -25.7400  49.6400  2
 -25.8300  49.5800  2
 -25.8200  49.6600  2
 -25.6200  50.7800  3
 -25.6600  50.8000  2
 -25.7100  50.8500  3
 -25.7500  50.9200  2
 -25.8400  51.0000  3
 -25.8800  51.0300  2
 -25.9200  51.1000  3
 -25.9700  51.1400  2
 -26.0200  51.2400  3
 -26.0900  51.2700  2
 -26.1300  51.3500  3
 -26.1700  51.3900  2
 -26.2600  51.4500  3
 -26.3100  51.5100  2
 -26.4500  51.6600  3
 -26.5300  51.7300  2
 -26.5800  51.8100  3
 -26.6300  51.8700  2
 -26.7000  51.9400  3
 -26.7500  51.9700  2
 -26.8200  52.0500  3
 -26.8800  52.1200  2
 -26.9400  52.1900  3
 -26.9900  52.2300  2
 -26.7700  51.8800  3
 -26.6700  51.9300  2
 -26.4500  51.4800  3
 -26.3500  51.5600  2
 -26.4900  51.5700  3
 -26.3500  51.5600  2
 -25.6400  50.7800  3
 -25.5200  50.8800  2
 -25.4800  50.9500  3
 -25.4700  51.0100  2
 -25.5100  51.0600  2
 -25.5300  51.0100  2
 -25.5600  51.0600  2
 -25.6100  51.0100  2
 -25.6000  50.9900  2
 -25.6000  51.2200  3
 -25.6000  51.1300  2
 -25.5200  51.2100  2
 -25.4800  51.1400  2
 -16.3600  60.8200  3
  99.0000   0.0000  3
 94X 121 907  46  68.96   0.00 AN    31 5
 -17.2500  52.9100  3
 -17.3400  52.9800  2
 -17.3800  53.0200  2
 -17.4900  53.1300  2
 -17.6000  53.2300  2
 -17.7400  53.3600  2
 -17.8500  53.4400  2
 -17.9700  53.5300  2
 -18.0500  53.6100  2
 -17.7100  53.2200  3
 -17.6000  53.3000  2
 -17.4400  52.9900  3
 -17.3400  53.0700  2
 -20.7200  51.6400  3
 -20.8300  51.7400  2
 -20.9300  51.8500  2
 -21.0600  52.0100  2
 -21.2100  52.1300  2
 -21.3000  52.2700  2
 -21.4200  52.3600  2
 -21.5500  52.4800  2
 -21.6900  52.6400  2
 -21.7900  52.7500  2
 -21.8500  52.8200  2
 -21.2600  52.0800  3
 -21.1600  52.2100  2
 -21.0100  51.9100  3
 -20.9300  52.0000  2
 -20.9500  51.8700  3
 -20.8700  51.9000  2
 -21.3900  52.5400  3
 -21.3700  52.6100  2
 -21.4300  52.5900  2
 -21.4400  52.6300  2
 -21.4800  52.5300  2
 -21.3800  52.7300  3
 -21.4700  52.7100  2
 -17.0700  52.7600  3
 -17.0500  52.8100  2
 -17.0600  52.8700  2
 -17.1000  52.8300  2
 -17.1600  52.8800  2
 -17.1400  52.7800  2
 -17.0500  52.9700  3
 -17.1500  52.9500  2
 -26.6100  81.7100  3
  99.0000   0.0000  3
 94X 122 907  84  67.58   0.00 AN    30 4
 -16.6600  53.4200  3
 -16.7700  53.5200  2
 -16.8800  53.6400  2
 -16.9900  53.7500  2
 -17.0900  53.9000  2
 -17.2300  54.0500  2
 -17.3400  54.1200  2
 -17.4500  54.2200  2
 -17.3900  54.1200  3
 -17.3300  54.1500  2
 -17.1400  53.8100  3
 -17.0600  53.8500  2
 -16.9900  53.6800  3
 -16.8800  53.7400  2
 -16.4600  53.4800  3
 -16.4300  53.5400  2
 -16.4900  53.5600  2
 -16.5000  53.5200  2
 -16.5500  53.5800  2
 -16.5800  53.5500  2
 -16.5500  53.5100  2
 -16.4600  53.6600  3
 -16.5000  53.6300  2
 -16.5700  53.6600  2
 -16.5800  53.7200  2
 -16.5000  53.7600  2
 -16.4500  53.7100  2
 -16.4500  53.6600  2
 -20.0800  52.3700  3
 -20.1700  52.4600  2
 -20.2400  52.5600  2
 -20.3800  52.7000  2
 -20.4700  52.7700  2
 -20.5900  52.9000  2
