 5XX 500 501 200 600.00   0.00 CS 000   7
   9.1900  80.8500  2
   9.4100  80.6700  2
   9.5800  80.5000  2
   9.7400  80.3300  2
   9.8000  80.1800  2
   9.8100  80.0300  2
  22.6800  90.6100  3
  22.6100  90.6100  2
  22.4900  90.6200  2
  22.3300  90.6200  2
  22.2900  90.7700  2
  22.4100  90.8600  2
  22.5400  90.8600  2
  22.7200  90.7700  2
  22.7500  90.6900  2
  22.6800  90.6100  2
  99.0000   0.0000  3
 99X  74 501  57   1.00   0.00 RI 000   7
 -28.5300  74.5000  3
 -28.6800  74.6900  2
 -28.9100  74.9000  2
 -29.2400  75.2600  2
 -29.3800  75.4300  2
 -29.5500  75.6400  2
 -29.7400  75.8400  2
 -29.8600  75.9500  2
 -29.9300  76.0600  2
 -30.6100  75.4300  3
 -30.8300  75.6800  2
 -31.0300  75.8700  2
 -31.1700  76.0600  2
 -31.3300  76.2300  2
 -31.4800  76.3700  2
 -31.5800  76.5200  2
 -31.6900  76.6300  2
 -31.7600  76.9300  3
 -31.9500  77.1800  2
 -32.0600  77.2900  2
 -32.2300  77.5200  2
 -32.4100  77.7100  2
 -32.5100  77.8500  2
 -32.6500  78.0400  2
 -33.6300  77.3800  3
 -33.8700  77.6300  2
 -34.0800  77.8900  2
 -34.2300  78.1100  2
 -34.3700  78.2500  2
 -34.6000  78.5000  2
 -34.7300  78.6900  2
 -34.9100  78.8700  2
 -35.6100  78.4400  3
 -35.7400  78.6200  2
 -35.8900  78.8100  2
 -36.0700  79.0300  2
 -36.1800  79.1800  2
 -36.2900  79.2800  2
 -36.3500  79.3400  2
 -39.6500  77.1100  3
 -39.7700  77.2900  2
 -39.9500  77.5400  2
 -40.0800  77.7200  2
 -40.2300  77.8900  2
 -40.3700  78.0700  2
 -40.6100  78.3300  2
 -40.7400  78.5300  2
 -40.9500  78.7800  2
 -41.0900  79.0300  2
 -41.2500  79.2200  2
 -41.3900  79.3700  2
 -41.4700  79.5100  2
 -41.6000  79.6700  2
 -41.6700  79.7600  2
 -41.7500  79.8300  2
 -41.8000  79.8700  2
 -41.8000  79.8900  3
  99.0000   0.0000  3
 99X 137 501  56   9.67   0.00 AN     5 2
 -30.3400  79.3800  3
 -30.4500  79.5000  2
 -30.5700  79.6300  2
 -30.5500  79.4200  3
 -30.4600  79.5000  2
 -30.3800  79.6100  2
 -30.7400  80.2100  3
 -30.7400  80.1100  2
 -30.8300  80.1100  2
 -30.8300  80.2400  2
 -30.9000  80.2100  2
 -30.8900  80.1000  2
 -32.7700  80.5900  3
 -32.8200  80.6200  2
 -32.8900  80.7600  2
 -32.8700  80.6000  3
 -32.8100  80.6500  2
