 8XX 500 802 200 600.00   0.00 CS 000   7
 -27.1700-109.5000  3
 -27.1600-109.4000  2
 -27.1200-109.3800  2
 -27.0800-109.4100  2
 -27.0700-109.4500  2
 -27.0500-109.4900  2
 -27.1300-109.5300  2
 -27.1700-109.5400  2
 -65.4100 103.6300  2
 -65.4000 104.0500  2
 -65.4600 104.5300  2
 -65.6300 104.8000  2
 -65.8500 105.0100  2
 -66.0500 105.3100  2
 -66.0500 105.0000  2
 -65.9300 104.4100  2
 -65.8800 104.1400  2
 -65.9200 104.1300  2
 -65.9900 104.0400  2
 -66.0900 104.4100  2
 -66.1400 104.8500  2
 -66.2100 105.3800  2
 -66.3300 105.8300  2
 -66.4500 106.5200  2
 -66.5000 107.0100  2
 -66.5800 107.5500  2
 -66.6200 107.8800  2
 -66.6000 108.0700  2
 -66.6600 108.2200  2
 -66.8500 108.4500  2
 -66.9700 108.7100  2
 -66.9800 108.7200  2
 -66.9400 109.0500  2
 -66.8600 109.1500  2
 -66.7100 109.2800  2
 -66.6400 109.6500  2
 -66.6500 109.9200  2
 -66.6500 109.9600  2
 -66.6500 110.2100  2
 -66.5700 110.3900  2
 -66.5300 110.4700  2
 -66.4800 110.7100  2
 -66.4000 110.5700  2
 -66.2900 110.5200  2
 -66.1600 110.9200  2
 -66.0200 111.4600  2
 -65.9400 111.9000  2
 -65.9000 112.1200  2
 -65.8400 112.4000  2
 -65.7900 112.8700  2
 -65.7500 113.2600  2
 -65.9300 113.5800  2
 -66.0500 113.8900  2
 -66.1700 114.2600  2
 -66.3100 114.5100  2
 -66.4400 114.5000  2
 -66.5400 114.7100  2
 -66.5500 114.8600  2
 -66.4900 115.0400  2
 -66.4800 115.1800  2
 -66.4300 115.3200  2
 -66.3900 115.9200  2
 -66.5200 116.3700  2
 -66.6200 116.6700  2
 -66.7000 116.7100  2
 -66.9000 116.9500  2
 -66.9400 117.3400  2
 -66.9700 117.7300  2
 -66.9800 117.7500  2
 -66.9700 118.1100  2
 -66.9200 118.5200  2
 -66.9200 119.0300  2
 -66.9700 119.6100  2
 -66.8600 120.0300  2
 -66.7900 120.4500  2
 -66.8000 120.9400  2
 -66.6300 121.3000  2
 -66.4600 121.6600  2
 -66.3700 121.0400  2
 -66.1200 120.8300  2
 -65.8300 120.8600  2
 -65.7200 121.1900  2
 -65.7400 121.3800  2
 -66.0100 121.5300  2
 -66.2600 121.8300  2
 -66.4000 122.1800  2
 -66.4800 122.4200  2
 -66.6000 122.5300  2
 -66.7200 122.8200  2
 -66.7900 123.0100  2
 -66.7900 123.3100  2
 -66.6700 123.6400  2
 -66.6200 123.8700  2
 -66.6000 123.8800  2
 -66.6000 123.7500  2
 -66.5700 123.5500  2
 -66.5500 123.3700  2
 -66.4600 123.2900  2
 -66.3400 123.4400  2
 -66.2400 123.8400  2
 -66.2000 124.3200  2
 -66.2600 124.8700  2
 -66.3000 125.3900  2
 -66.3500 125.8600  2
 -66.3600 126.1900  2
 -66.4500 126.4700  2
 -66.5600 126.8400  2
 -66.5800 126.9300  2
 -66.5600 127.1100  2
 -66.6800 127.3800  2
 -66.8300 127.5000  2
 -67.0200 127.8200  2
 -67.0300 128.2000  2
 -67.0100 128.7100  2
 -67.0400 129.1300  2
 -66.9700 129.4500  2
 -66.7500 129.5800  2
 -66.6200 129.5400  2
 -66.4300 129.7300  2
 -66.3400 129.7200  2
 -66.2200 129.8200  2
 -66.0100 129.9000  2
 -65.9500 130.2600  2
 -66.1000 130.4400  2
 -66.2000 130.9400  2
 -66.1900 131.3000  2
 -66.2100 131.8800  2
 -66.1900 132.1400  2
 -66.1800 132.5200  2
 -66.1400 132.8500  2
 -66.1300 133.5400  2
 -66.1900 133.9700  2
 -66.0500 134.4700  2
 -65.8600 134.5300  2
 -65.7000 134.5200  2
 -65.4800 134.7200  2
 -65.3100 134.9200  2
 -65.1100 135.2300  2
 -65.0900 135.4200  2
 -65.2500 135.6000  2
 -65.4900 135.5600  2
 -65.7700 135.4500  2
 -65.9900 135.2200  2
 -66.0800 134.8000  2
 -66.0600 135.0500  2
 -66.0800 135.2400  2
 -66.1700 135.7000  2
 -66.1900 135.9000  2
 -66.3000 136.0400  2
 -66.3600 136.5900  2
 -66.3600 137.2000  2
 -66.4800 137.6200  2
 -66.6300 138.8400  2
 -66.6500 138.9200  2
 -66.6700 139.4200  2
 -66.6900 139.9300  2
 -66.7700 140.6400  2
 -66.8100 141.3700  2
 -66.7900 141.6500  2
 -66.8900 141.8400  2
 -67.0100 142.1200  2
 -67.0200 142.3800  2
 -66.9600 142.7700  2
 -66.9000 143.1500  2
 -67.0400 143.5300  2
 -67.0800 143.8300  2
 -67.0900 144.1700  2
 -67.1500 144.4600  2
 -67.0000 144.9800  2
 -67.0500 145.5500  2
 -67.2300 145.8300  2
 -67.3900 145.5100  2
 -67.5500 145.1500  2
 -67.6700 145.2800  2
 -67.6400 145.5700  2
 -67.7300 145.9900  2
 -67.8200 146.3100  2
 -67.8700 146.4400  2
 -67.9100 146.6300  2
 -68.0200 147.0300  2
 -68.0400 147.5000  2
 -68.1100 148.0300  2
 -68.2700 148.1600  2
 -68.3300 148.0700  2
 -68.3900 147.7400  2
 -68.4500 147.8500  2
 -68.4400 148.2100  2
 -68.4300 148.6400  2
 -68.3800 148.8700  2
 -68.3700 148.9900  2
 -68.4600 149.1400  2
 -68.5100 149.3200  2
 -68.4500 149.4400  2
 -68.5300 149.5200  2
 -68.5300 149.6700  2
 -68.4900 149.7400  2
 -68.5100 149.8300  2
 -68.5000 149.8700  2
 -68.4500 150.1000  2
 -68.3800 150.5900  2
 -68.4200 151.0000  2
 -68.4900 151.5300  2
 -68.5200 152.2400  2
 -68.4800 152.9500  2
 -68.4100 153.4000  2
 -68.5600 154.2100  2
 -68.6600 154.5000  2
 -68.6900 154.4100  2
 -68.7500 154.3800  2
 -68.9100 154.4000  2
 -69.0600 154.6900  2
 -68.9800 154.9200  2
 -69.0300 155.4100  2
 -69.1000 156.3900  2
 -69.1900 156.9300  2
 -69.0700 156.8400  2
 -68.9500 156.8300  2
 -69.0900 157.1300  2
 -69.2200 157.2900  2
 -69.2300 157.7100  2
 -69.2700 158.1600  2
 -69.3200 158.3100  2
 -69.3500 158.7300  2
 -69.4800 159.1400  2
 -69.6800 159.7600  2
 -69.8600 160.0700  2
 -69.9800 160.2700  2
 -70.0200 160.2900  2
 -70.1300 160.2300  2
 -70.3200 160.6800  2
 -70.4100 161.0300  2
 -70.3500 161.2100  2
 -70.4200 161.4700  2
 -70.4600 161.8700  2
 -70.5500 162.1200  2
 -70.7200 162.2800  2
 -70.8500 162.6700  2
 -70.8200 162.8500  2
 -70.7300 162.9900  2
 -70.7900 163.6000  2
 -70.7600 164.1000  2
 -70.7500 164.2600  2
 -70.7600 164.5300  2
 -70.7200 165.3100  2
 -70.6300 165.8700  2
 -70.6600 166.2800  2
 -70.7500 166.1800  2
 -70.7600 166.3100  2
 -70.7500 166.5800  2
 -70.8500 166.9000  2
 -71.0200 167.0000  2
 -71.0000 167.4600  2
 -71.0600 167.6100  2
 -71.1700 168.1300  2
 -71.3300 168.5800  2
 -71.5100 169.0300  2
 -71.6400 169.3000  2
 -71.6800 169.6000  2
 -71.6700 169.7800  2
 -71.5700 169.8900  2
 -71.4400 169.7800  2
 -71.4100 170.0000  2
