 9050001 402 137 250   0 BS 000 2
  75.83 137.29 2
  75.86 137.23 2
  75.92 137.14 2
  75.95 137.18 2
  75.99 137.33 2
  75.97 137.42 2
  75.99 137.58 2
  76.00 137.74 2
  76.03 137.91 2
  76.08 137.99 2
  76.14 138.09 2
  76.12 138.14 2
  76.14 138.23 2
  76.17 138.34 2
  76.20 138.56 2
  76.20 138.67 2
  76.22 138.85 2
  76.21 138.91 2
  76.16 138.81 2
  76.11 138.85 2
  76.08 138.97 2
  76.03 139.16 2
  75.98 139.33 2
  75.97 139.43 2
  75.98 139.60 2
  75.95 139.63 2
  75.92 139.77 2
  75.87 139.66 2
  75.83 139.75 2
  75.83 139.84 2
  75.84 139.92 2
  76.14 141.33 3
  76.14 141.37 2
  76.13 141.46 2
  76.10 141.62 2
  76.06 141.75 2
  76.01 141.91 2
  75.97 142.10 2
  75.92 142.22 2
  75.88 142.34 2
  75.85 142.50 2
  75.85 142.70 2
  75.83 142.94 2
  75.85 143.12 2
  75.88 143.27 2
  75.89 143.45 2
  75.87 143.63 2
  75.86 143.84 2
  75.79 143.96 2
  75.74 144.09 2
  75.72 144.22 2
  75.71 144.39 2
  75.68 144.52 2
  75.65 144.65 2
  75.63 144.84 2
  75.61 144.98 2
  75.57 145.13 2
  75.53 145.26 2
  75.53 145.38 2
  75.50 145.41 2
  75.49 145.34 2
  75.50 145.20 2
  75.51 145.08 2
  75.49 144.91 2
  75.45 144.85 2
  75.44 144.64 2
  75.42 144.69 2
  75.38 144.66 2
  75.32 144.66 2
  75.27 144.76 2
  75.24 144.67 2
  75.16 144.62 2
  75.12 144.37 2
  75.09 144.30 2
  75.05 144.02 2
  75.02 143.84 2
  75.05 143.67 2
  75.06 143.34 2
  75.08 142.99 2
  75.14 142.73 2
  75.24 142.58 2
  75.32 142.43 2
  75.40 142.32 2
  75.48 142.35 2
  75.54 142.43 2
  75.60 142.50 2
  75.66 142.59 2
  75.73 142.63 2
  75.77 142.65 2
  75.77 142.50 2
  75.82 142.43 2
  75.84 142.31 2
  75.88 142.19 2
  75.92 142.08 2
  75.96 141.97 2
  76.00 141.84 2
  76.03 141.73 2
  76.06 141.63 2
  76.09 141.47 2
  76.13 141.37 2
  76.14 141.35 2
  76.14 141.34 2
  76.14 141.33 2
  75.56 146.29 3
  75.55 146.30 2
  75.53 146.40 2
  75.51 146.57 2
  75.49 146.67 2
  75.45 146.72 2
  75.42 146.89 2
  75.40 147.16 2
  75.40 147.44 2
  75.41 147.57 2
  75.40 147.76 2
  75.39 147.99 2
  75.38 148.22 2
  75.38 148.37 2
  75.37 148.55 2
  75.33 148.60 2
  75.33 148.45 2
  75.30 148.43 2
  75.25 148.22 2
  75.25 148.34 2
  75.26 148.63 2
  75.26 148.92 2
  75.25 149.05 2
  75.28 149.20 2
  75.28 149.38 2
  75.25 149.56 2
  75.19 149.67 2
  75.20 149.89 2
  75.21 150.01 2
  75.19 150.22 2
  75.14 150.35 2
  75.11 150.63 2
  75.11 150.85 2
  75.10 151.09 2
  75.06 150.90 2
  75.01 150.90 2
  74.93 150.92 2
  74.84 150.69 2
  74.78 150.31 2
  74.75 150.15 2
  74.73 150.03 2
  74.72 149.84 2
  74.76 149.72 2
  74.73 149.62 2
  74.74 149.48 2
  74.79 149.39 2
  74.74 149.35 2
  74.74 149.15 2
  74.77 148.86 2
  74.83 148.66 2
  74.83 148.38 2
  74.85 148.12 2
  74.91 147.96 2
  74.93 147.78 2
  74.99 147.62 2
  75.00 147.44 2
  75.01 147.27 2
  75.05 147.06 2
  75.12 147.06 2
  75.18 147.04 2
  75.25 146.81 2
  75.34 146.72 2
  75.40 146.51 2
  75.46 146.32 2
  75.52 146.26 2
  75.54 146.25 2
  75.55 146.26 2
  75.56 146.29 2
  74.14 140.95 3
  74.22 140.98 2
  74.27 140.81 2
  74.31 140.52 2
  74.27 140.25 2
  74.20 140.10 2
  74.16 140.08 2
  74.11 140.09 2
  74.06 140.13 2
  74.00 140.15 2
  73.95 140.15 2
  73.92 140.28 2
  73.89 140.48 2
  73.89 140.55 2
  73.92 140.44 2
  73.95 140.39 2
  73.96 140.49 2
  73.95 140.67 2
  73.99 140.70 2
  74.00 140.80 2
  74.02 140.87 2
  74.03 140.90 2
  74.07 140.97 2
